StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q46,Q2,Q3,Q3_7_TEXT,Q47,Q47_11_TEXT,Q32,Q32_10_TEXT,Q12,Q5,Q5_6_TEXT,Q8,Q7,Q16,Q39,Q38,Q19,Q31,Q25,Q29,Q21,Q40,Q36,Q36_8_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,QID15_1,QID15_2,QID15_3,QID15_4,QID15_5,QID15_6,QID15_7,QID15_8,QID15_9,QID15_10,QID15_11,QID15_12
18/11/2024 23:54,19/11/2024 00:14,IP Address,119.18.2.94,100,1193,TRUE,19/11/2024 00:14,R_4neGV0nnCu4cGaJ,,,,,-33.8715,151.2006,anonymous,EN,I consent,36,Male,"University - research,University - teaching",,Ecology,,Researcher,,"Many. Several hundred if including students, perhaps ca. 100-150 if employees (researchers) only.  ",Postgraduate research degree,,,Evolutionary ecology,Yes - other staff,,,,It is a moderately important assessment,"Self-motivation, time management, experimental design and data handling/analysis basics, writing, fundamentals of ecology and evolution",Probably yes,Greater need,"Likely increase, as the need for biodiversity monitoring, taxonomic research, conservation planning and the like continue to increase in urgency.",vegetarian,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree
19/11/2024 01:43,19/11/2024 01:48,IP Address,103.137.14.244,100,280,TRUE,19/11/2024 01:48,R_4SJLWI7knf6Hcmm,,,,,-37.8159,144.9669,anonymous,EN,I consent,45,Male,"University - teaching,Private/sole trader",,Ecology,,"Science communicator,Educator,Other",science tour guide,,Postgraduate research degree,,,geography,No insects are euthanised in my role,,,,It is a moderately important assessment,"entrepreneurship, general outdoor skills, storytelling",Definitely yes,Unsure,,I consume animal products,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree
19/11/2024 01:53,19/11/2024 02:02,IP Address,1.145.153.10,100,557,TRUE,19/11/2024 02:02,R_4nxcncCnYsNGVNW,,,,,-37.857,145.0345,qr,EN,I consent,51,Male,Government,,Other,Entomology/systematics,Other,Curator,2,Postgraduate research degree,,,Evolutionary biology,Yes - me,"I don’t like killing anything, but that feeling is overridden by the excitement of discovery and the knowledge I am contributing to our knowledge of biodiversity.",,,It is a very important assessment,"Identification skills, data collection and management",Definitely not,Same,"Insect collections will always be relevant for teaching, taxonomy, assessing environmental change, etc. I can’t think of any university in Australia that still teaches a full entomology course, let alone a collections-based one. I find this extremely troubling.",Other,Only eat poultry and kangaroo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
20/11/2024 15:55,20/11/2024 16:04,IP Address,1.147.112.89,100,536,TRUE,20/11/2024 16:04,R_4vB0wJ1dd98ogkp,,,,,-34.9172,138.5445,anonymous,EN,I consent,50,Female,Government,,Biosecurity,,"Policy officer,Other",Diagnostician,50+,Postgraduate research degree,,,Zoology entomology,Yes - me,I only collected insects for my PhD,,,It is a very important assessment,Basic identification to order level and some to family level. Basic curatorial skills.,Probably not,Same,,I have reduced (but not stopped) consumption of animal products,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
20/11/2024 16:18,20/11/2024 16:30,IP Address,49.182.208.54,100,707,TRUE,20/11/2024 16:30,R_4AlrcdvxjDoAdLX,,,,,-27.4679,153.0325,anonymous,EN,I consent,43,Male,Government,,Biosecurity,,Other,Entomologist,"Unsure, lots. ",Bachelors degree,,,Zoology,Yes - me,"Mostly just interested, occasionally guilty depending on the order. ",,,It is a very important assessment,"Critical thinking, ability to use identification resources, interpersonal, curation skills. ",Probably not,Greater need,Online and digital resources at great but are almost always limited in some way compared with examining a well curated specimen. ,I consume animal products,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
20/11/2024 16:11,20/11/2024 16:33,IP Address,49.182.178.177,100,1285,TRUE,20/11/2024 16:33,R_4D0flr2f4zmhFLg,,,,,-27.4679,153.0325,anonymous,EN,I consent,23,Female,Government,,Biosecurity,,Other,Entomologist,Unsure,Bachelors degree,,,Zoology,Yes - me,,,,It is a moderately important assessment,"Willingness and want to learn, problem solving, attention to detail, communication",Might or might not,Same,,I consume animal products,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
24/11/2024 17:30,24/11/2024 17:44,IP Address,131.217.255.210,100,867,TRUE,24/11/2024 17:44,R_4CjGyrGhAfXiRnP,,,,,-42.885,147.3343,anonymous,EN,I consent,41,Male,"University - research,University - teaching",,"Ecology,Pest control,Agriculture",,"Researcher,Educator",,unsure,High school graduate,,,Ecology,Yes - me,"It encouraged my curiosity, but very aware that I was killing living organisms.",,,It is a very important assessment,attention to detail. The ability to complete complex projects. Self motivation that results in a completed project.,Might or might not,Unsure,,I have reduced (but not stopped) consumption of animal products,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
24/11/2024 18:20,24/11/2024 19:43,IP Address,130.41.3.47,100,4967,TRUE,24/11/2024 19:43,R_4nPy6kL5hmC938b,,,,,-27.5057,153.0431,anonymous,EN,I consent,40,Female,Government,,Biosecurity,,"Researcher,Other",Diagnostician,Unsure,Bachelors degree,,,"Ecology, entomology",Yes - me,"Fun and honoured to be involved in maintaining a collection, and that the insect's life wasn't taken in vain",,,It is a very important assessment,"Flexibility and adaptability, taxonomy and phylogenetics",Might or might not,Greater need,"A lot of funding and emphasis has been removed from the insect collections in favour of 'quick and easy' molecular results, however pure taxonomy will remain an imperative part of biology and entomology.",I consume animal products,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
19/11/2024 14:38,19/11/2024 15:03,IP Address,119.17.137.138,96,1513,FALSE,26/11/2024 15:03,R_47BzoOTrSRaqCsY,,,,,,,qr,EN,I consent,56,Male,"University - research,University - teaching",,"Ecology,Other",Entomology,Other,Adjunct Associate Professor,02-Mar,Postgraduate research degree,,,Agriculture and forestry ,Yes - me,Necessary,,,It is a moderately important assessment,Basic entomology,Definitely yes,Unsure,Only capable and focussed undergrads benefit from the process of making a collection. Many second year La Trobe students do not know how to use a stereo microscope and are hesitant to use them when provided in pracs. Consequently there is little point trying to teach them about the morphology of different orders. I offer such students a photographic competition to limit the killing of insects for collections of little teaching benefit.,I consume animal products,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
20/11/2024 16:16,20/11/2024 16:27,IP Address,211.30.173.216,96,674,FALSE,27/11/2024 16:27,R_4q96DrVHIxV9lLZ,,,,,,,anonymous,EN,I consent,33,Male,Government,,"Biosecurity,Molecular biology,Other",Entomology,Other,Entomologist/diagnostician,&gt;100,Postgraduate research degree,,,Zoology/Ecology,Yes - me,positive,,,It is a very important assessment,Attention to detail. Observational skills. Critical thinking/reasoning,Might or might not,Same,Physical reference collections are fundamental to my most entomology related jobs that involve identification or taxonomy,vegetarian,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
27/11/2024 16:50,27/11/2024 16:57,IP Address,203.56.148.217,100,411,TRUE,27/11/2024 16:57,R_4O2HVYQq7MOQSWk,,,,,-32.0666,115.7872,anonymous,EN,I consent,34,Female,"University - research,Private/sole trader",,"Ecology,Other",Conservation ,"Researcher,Science communicator",,Unsure ,Postgraduate research degree,,,Zoology & Conservation Biology,Yes - me,"As a vegan I feel bad about taking the life of any animal, but I know that without my collection, I would never be able to ID to species level or advance taxonomy , so it’s a necessary evil. ",,,It doesn't matter if students have completed this assessment or not,"I don’t believe undergrads need to collect insects . They should learn from already established collections, as well as the best methods for creating collections . ",Definitely yes,Greater need,"Insect collections are vital, but having hundreds of undergrads go out and collect without a conservation goal isn’t valuable ",vegan,,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
20/11/2024 17:35,20/11/2024 17:52,IP Address,49.181.86.101,96,982,FALSE,27/11/2024 17:52,R_4N2ji6q96jeAB21,,,,,,,anonymous,EN,I consent,57,Female,"University - teaching,University - professional",,"Ecology,Biosecurity,Pest control,Evolutionary biology,Agriculture,Animal Health,Other",Food,Other,Teaching support professional ,Unsure ,Postgraduate research degree,,,"Agriculture, environment and plant protection",Yes - me,I learned a lot.,,,It is a very important assessment,"Practicality, can do attitude, eager to learn, environment awareness ",Probably not,Greater need,,I have reduced (but not stopped) consumption of animal products,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
01/12/2024 00:36,01/12/2024 00:56,IP Address,138.77.87.235,100,1165,TRUE,01/12/2024 00:56,R_4QLpiTfhrbKjnXD,,,,,-23.3632,150.5509,qr,EN,I consent,28,Female,"University - professional,Government,Other",Education - primary and high school,"Ecology,Zookeeping",,"Science communicator,Educator,Animal keeper",,7,Bachelors degree,,,Ecology and biology,Yes - other staff,,,,It is a moderately important assessment,"Soft skills - communication, time management, etiquette ",Probably yes,Greater need,"There are so many undiscovered species and having larger collections to describe them, means that we can classify their conservation status",I consume animal products,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
26/11/2024 16:10,26/11/2024 16:25,IP Address,165.85.11.116,96,880,FALSE,03/12/2024 16:25,R_4NMqSNXYFvzlkCB,,,,,,,anonymous,EN,I consent,prefer not to say,Prefer not to say,Government,,"Ecology,Biosecurity",,Research assistant,,8,Bachelors degree,,,ecology,No insects are euthanised in my role,,,,It is a moderately important assessment,,Probably yes,Same,,I have reduced (but not stopped) consumption of animal products,,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly agree
04/12/2024 14:00,04/12/2024 14:09,IP Address,137.154.28.118,100,506,TRUE,04/12/2024 14:09,R_4x547cZDwp1jC8N,,,,,-33.7748,150.7318,anonymous,EN,I consent,32,Female,University - research,,Other,Animal behaviour,Researcher,,Unsure,Postgraduate research degree,,,Animal behaviour,Yes - me,"Yes I often feel guilt when taking specimens, particularly if I have been rearing them for some time. I am always concerned that we don't really know if the methods we use are appropriate for the species, or if they cause suffering. Oddly though on a big project you kind of get a bit numb to taking the specimens after a while, which I also find a bit concerning.",,,It doesn't matter if students have completed this assessment or not,"Passion for the species, organization, field skills, driving, experimental design",Definitely yes,Unsure,"So I actually think this will decrease over time (but have ticked unsure as there was not the option for this), the field is developing methods to extract DNA without taking a whole specimen, which I hope will decrease the need for specimens in the future.",I consume animal products,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree
04/12/2024 15:48,04/12/2024 15:55,IP Address,124.183.64.174,100,440,TRUE,04/12/2024 15:55,R_4sXO4IKaM2akoA5,,,,,-27.5126,153.029,anonymous,EN,I consent,44,Male,Industry,,Ecology,,Educator,,Appox 15,Postgraduate coursework degree,,,Zoology,No insects are euthanised in my role,,,,It is a moderately important assessment,"Understanding of taxonomy, animal husbandry and welfare, communication skills",Probably yes,Same,,I consume animal products,,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree
04/12/2024 19:20,04/12/2024 19:27,IP Address,203.21.125.69,100,428,TRUE,04/12/2024 19:27,R_4EyfdKTBRzYWWTO,,,,,-37.7831,144.9454,anonymous,EN,I consent,43,Female,Government,,Zookeeping,,"Animal keeper,Other",Manager of keepers,around 10 ,Bachelors degree,,,Conservation Ecology ,Yes - me,Kill insects for health reasons and to cull off excess or doing ecological surveys. Feel guilty at times but have become used to the culling in particular ,,,It doesn't matter if students have completed this assessment or not,"Willingness to learn, good work ethic and some identification skills - we can teach the rest ",Definitely yes,Same,We don't need to kill animals for identification needs generally. It is for other needs - tissue samples or culling. We do use insects that have dies a natural death in the colelction.,I consume animal products,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree
04/12/2024 18:36,04/12/2024 20:10,IP Address,112.141.67.176,100,5603,TRUE,04/12/2024 20:10,R_4J3hy0RzNiQnugN,,,,,-27.6782,153.1341,anonymous,EN,I consent,45,Female,Private/sole trader,,Zookeeping,,Educator,,5,Bachelors degree,,,Zoology,Yes - me,It was fun,,,It is a moderately important assessment,"Observation, record keeping, animal husbandry and care",Probably yes,Same,"We euthaise invertebrates when we have too many of them, or to feed to other animals",I consume animal products,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
09/12/2024 04:02,09/12/2024 04:47,IP Address,122.150.165.119,100,2692,TRUE,09/12/2024 04:47,R_4bGVgFwsp9w48fz,,,,,-37.7995,144.9504,qr,EN,I consent,49,Female,"University - research,University - teaching",,Ecology,,"Researcher,Educator",,5,High school graduate,,,Ecology,Yes - me,It was fun AND it made me feel sad for the insects,,,It is a moderately important assessment,,Probably yes,Same,Ethanol preservation is more important as it preserves DNA and morphology,I consume animal products,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
02/12/2024 20:36,02/12/2024 20:48,IP Address,208.127.114.64,96,733,FALSE,09/12/2024 20:48,R_4rhWgcgUywJY9ZT,,,,,,,anonymous,EN,I consent,46,Male,Government,,"Biosecurity,Agriculture",,Researcher,,"Many, but unsure exactly",Postgraduate research degree,,,Entomology,Yes - me,I didn't feel anything in particular - it's my job and I enjoy all aspects of it,,,It is a very important assessment,Foundational knowledge of the discipline,Definitely not,Same,,I consume animal products,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
10/12/2024 18:48,10/12/2024 18:57,IP Address,203.30.15.34,100,545,TRUE,10/12/2024 18:57,R_4pJiqRx3FBWuXvr,,,,,-33.8715,151.2006,anonymous,EN,I consent,34,Female,"University - research,University - teaching",,"Ecology,Biosecurity,Human Health",,"Researcher,Science communicator,Educator",,Unsure,Postgraduate research degree,,,Medical entomology ,No insects are euthanised in my role,,,,It doesn't matter if students have completed this assessment or not,"Raising a research question, planning, designing, predicting, conducting, analysing, comparing, thinking critically and disseminating results",Probably yes,Unsure,"There are so many insect collections in universities from previous years, I’d encourage students to turn old collections into digital repositories. They’d develop the same skills in terms of IDs",vegetarian,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
15/12/2024 06:37,15/12/2024 06:47,IP Address,154.198.73.64,100,637,TRUE,15/12/2024 06:47,R_41HQyJxGvy1dhsJ,,,,,33.7233,73.0435,anonymous,EN,I consent,24,Male,University - research,,"Ecology,Pest control,Agriculture,Human Health",,Researcher,,25,Postgraduate research degree,,,Entomology ,Yes - me,Insects collection is full of fun and feel me relax to see the beauty of nature. I have completed alot of insects collection boxes the best one is the lepidopteran collection box. So it didn't feel me guilty.,,,It is a very important assessment,Like alot of undergraduate students didn't know how to pin and spread wings of insects so we need to teach them that how to do preserve and pin an insect.,Definitely not,Greater need,Now students are awaring that need of insects collection and preservation is need to study then further like their wings venation and antenna etc.,vegetarian,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
09/12/2024 17:04,15/12/2024 19:45,IP Address,137.154.63.98,81,528028,FALSE,22/12/2024 19:45,R_4ocHv4QUw7i8k94,,,,,-33.598,150.7516,anonymous,EN,I consent,25,Female,University - research,,Ecology,,Researcher,,unsure,Postgraduate research degree,,,Biological sciences,Yes - me,,,,It is a very important assessment,Critical thinking,Might or might not,Same,,,,,,,,,,,,,,,,,,,,,
13/01/2025 13:03,13/01/2025 13:06,IP Address,1.129.29.15,50,230,FALSE,20/01/2025 13:07,R_4Ja3lvzEMD8I4lH,,,,,-33.8601,151.2101,qr,EN,I consent,24,Female,Other,Education,"Ecology,Zookeeping,Physiology,Other",Behavioural biology,"Science communicator,Educator,Animal keeper",,Approximately 10,Bachelors degree,,,Conservation biology,Yes - me,,,,No response,,,,,,,,,,,,,,,,,,,,,,,,
